comment_id,label,expression,sarcasm,target,group category,post_id,user_id,comment_time,like_num,comment_content,to_id
DGFbNNSppqIO71_N,Non-CB,,,,,rQHgZv41wbxYXVj8,6cr1oE6g_rflCQaC,9.0,31.0,偏0的就是同啊，最起码我看到的偏0没有双的当然也可能是我见的少，奉劝别再幻想了，分了算了,
hiHMZyZc0M3zU_0B,Non-CB,,,,,3WyA1A6gSZ8iYhZf,z1OXDC6Bke2RzhN1,22504.0,1.0,都是实情，没有一点虚夸。,
TShwTTBwlQp4yAl_,Non-CB,,,,,87lA4pP9QDuDIF0m,jmoqCgCBxHVn5f74,560.0,0.0,我参与了 发起的投票【投票：你在的城市下雪了吗？】，我投给了“下过了”这个选项，你也快来表态吧~,
IsxRUFCK4Zn9BSzR,Non-CB,,,,,yxSXvfqSh_-YV56G,643jt4_XbRkKsR4w,66.0,3.0,他是典韦那样的虎将,
745CXzUy6z_Q7598,Non-CB,,,,,hyuflssKMRh9VvPu,7hiHBl0TdGzB6UiD,1418.0,0.0,评论怎么跨性别都还能扯到女拳… 高考语文不及格吧,
BO-zMy9dTpEGwrGi,Non-CB,,,,,qz533utUczdqXJzu,1jeIud5av1E3YY_p,372.0,0.0,羡4我喜欢你，从黑夜到黎明，从冷冬到暖春，从一秒到一生，生生不息，轮回不止。,
7geVFFd3xmSIBY_e,CB,Explicit,No,Individual,,gXgOHvySf9Jfm2ok,6b69GVAd2QYBgeKM,231.0,6.0,最后不就演变成看谁不爽就打成角色黑不算厨子不能护，最后没饭吃那不是纯纯活该，拒绝包容的最终结果就是底线越来越高让创作者同归于尽,PoCClNhqV24m6Hcd
nYJ3UKte8q2A2eAg,Non-CB,,,,,PqbmiT_Ua9BxJoc5,VtKzLmVTqDvl69u1,44.0,5.0,说不紫的，可能色盲了,vmQ5aGVaYjIvUy1f
PdyUGVuRM4UblEOg,CB,Implicit,No,Individual,,WWWchGY--id-YBV9,M5-U_gqOsY_EuGV1,64.0,0.0,这么做百年后如何面见老祖宗？,
w_20aNJWUHD-v3N3,Non-CB,,,,,QwD6fh3GqkTigYV9,vsg5gDzgF9N2fLmR,2.0,0.0,广东也差不多……,ObcUMYfcKCWaS4up
